cba8		 JMP (0x4c) 		 A:55 P:e4
cbaf		 LDY (0xa0) 		 A:55 P:64
cbb1		 JSR (0x20) 		 A:55 P:64
f931		 BIT (0x24) ZeroPage(1)=255		 A:55 P:e4
f933		 LDA (0xa9) 		 A:40 P:64
f935		 SEC (0x38) 		 A:40 P:65
f936		 RTS (0x60) 		 A:40 P:65
cbb4		 SBC (0xe9) 		 A:0 P:27
cbb6		 JSR (0x20) 		 A:0 P:27
f937		 BMI (0x30) 		 A:0 P:27
f939		 BCC (0x90) 		 A:0 P:27
f93b		 BNE (0xd0) 		 A:0 P:27
f93d		 BVS (0x70) 		 A:0 P:27
f93f		 CMP (0xc9) 		 A:0 P:27
f941		 BNE (0xd0) 		 A:0 P:27
f943		 RTS (0x60) 		 A:0 P:27
cbb9		 INY (0xc8) 		 A:0 P:25
cbba		 JSR (0x20) 		 A:0 P:25
f947		 CLV (0xB8) 		 A:0 P:25
f948		 SEC (0x38) 		 A:0 P:25
f949		 LDA (0xa9) 		 A:40 P:25
f94b		 RTS (0x60) 		 A:40 P:25
cbbd		 SBC (0xe9) 		 A:1 P:25
cbbf		 JSR (0x20) 		 A:1 P:25
f94c		 BEQ (0xf0) 		 A:1 P:25
f94e		 BMI (0x30) 		 A:1 P:25
f950		 BCC (0x90) 		 A:1 P:25
f952		 BVS (0x70) 		 A:1 P:25
f954		 CMP (0xc9) 		 A:1 P:27
f956		 BNE (0xd0) 		 A:1 P:27
f958		 RTS (0x60) 		 A:1 P:27
cbc2		 INY (0xc8) 		 A:1 P:25
cbc3		 JSR (0x20) 		 A:1 P:25
f95c		 LDA (0xa9) 		 A:40 P:25
f95e		 SEC (0x38) 		 A:40 P:25
f95f		 BIT (0x24) ZeroPage(1)=255		 A:40 P:e5
f961		 RTS (0x60) 		 A:40 P:e5
cbc6		 SBC (0xe9) 		 A:ff P:a4
cbc8		 JSR (0x20) 		 A:ff P:a4
f962		 BCS (0xb0) 		 A:ff P:a4
f964		 BEQ (0xf0) 		 A:ff P:a4
f966		 BPL (0x10) 		 A:ff P:a4
f968		 BVS (0x70) 		 A:ff P:a4
f96a		 CMP (0xc9) 		 A:ff P:27
f96c		 BNE (0xd0) 		 A:ff P:27
f96e		 RTS (0x60) 		 A:ff P:27
cbcb		 INY (0xc8) 		 A:ff P:25
cbcc		 JSR (0x20) 		 A:ff P:25
f972		 CLC (0x18) 		 A:ff P:24
f973		 LDA (0xa9) 		 A:80 P:a4
f975		 RTS (0x60) 		 A:80 P:a4
cbcf		 SBC (0xe9) 		 A:7f P:65
cbd1		 JSR (0x20) 		 A:7f P:65
f976		 BCC (0x90) 		 A:7f P:65
f978		 CMP (0xc9) 		 A:7f P:67
f97a		 BNE (0xd0) 		 A:7f P:67
f97c		 RTS (0x60) 		 A:7f P:67
cbd4		 INY (0xc8) 		 A:7f P:65
cbd5		 JSR (0x20) 		 A:7f P:65
